selected_generators,num_search_qubits,dimension,seed,train_sample_count,measurement_policy,shots,shots_per_circuit,max_candidates_per_shotbatch,refit_policy,learner,oracle_mode,diagnostic_only,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,absolute_gap_to_hidden_best,relative_gap_to_hidden_best,random_exact_success_probability,random_success_within_1_percent_probability,random_success_within_3_percent_probability,random_success_within_5_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,status,error
"[0, 5]",4,16,1,8,shot_batch,2000,2000,1,accepted,mismatch,learned,False,False,False,False,False,False,False,6275.344408000001,0.2553214031822208,0.0625,0.0625,0.0625,0.0625,9,1,16,2,4000,2,14,28,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,1,accepted,pairwise_ranking,learned,False,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.0625,0.0625,0.0625,0.0625,9,1,16,4,8000,4,22,166,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,3,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,12,4,16,2,4000,6,14,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,3,none,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,12,4,16,2,4000,6,22,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,3,accepted,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,12,4,16,2,4000,6,14,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,3,accepted,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,12,4,16,2,4000,6,25,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,5,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.3125,0.3125,0.3125,0.3125,13,5,16,2,4000,10,14,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,5,none,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.3125,0.3125,0.3125,0.3125,13,5,16,2,4000,10,22,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,5,accepted,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.3125,0.3125,0.3125,0.3125,13,5,16,2,4000,10,14,2,ok,
"[0, 5]",4,16,1,8,shot_batch,2000,2000,5,accepted,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.3125,0.3125,0.3125,0.3125,13,5,16,2,4000,10,25,2,ok,
