config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,5","[0, 5]",4,16,0,8,True,True,False,False,1100,24578.2152604,1101,30948.208892,1100,24578.2152604,True,13,16,13,26000,14,38,57,ok,
"0,5","[0, 5]",4,16,1,8,True,True,False,False,1100,24578.2152604,1110,30853.5596684,1000,27956.61606872647,False,12,16,31,62000,14,56,84,ok,
"0,5","[0, 5]",4,16,2,8,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1100,24578.2152604,True,12,16,13,26000,14,38,57,ok,
"0,5","[0, 5]",4,16,3,8,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,0100,28212.01718604706,False,10,16,12,24000,14,38,57,ok,
"0,5","[0, 5]",4,16,4,8,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,0100,28212.01718604706,False,12,16,12,24000,14,56,84,ok,
"0,5","[0, 5]",4,16,5,8,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1100,24578.2152604,True,12,16,21,42000,14,33,73,ok,
"0,5","[0, 5]",4,16,6,8,True,True,False,False,1100,24578.2152604,1010,34256.00041105882,0110,33603.67922298824,False,9,16,16,32000,14,56,102,ok,
"0,5","[0, 5]",4,16,7,8,True,True,False,False,1100,24578.2152604,1011,39794.7596684,1000,27956.61606872647,False,11,16,13,26000,14,56,120,ok,
"0,5","[0, 5]",4,16,8,8,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1000,27956.61606872647,False,11,16,14,28000,14,19,42,ok,
"0,5","[0, 5]",4,16,9,8,True,True,False,False,1100,24578.2152604,0111,39973.672854588236,1100,24578.2152604,True,13,16,28,56000,14,56,84,ok,
"0,5","[0, 5]",4,16,10,8,True,True,False,False,1100,24578.2152604,1011,39794.7596684,1100,24578.2152604,True,14,16,18,36000,18,55,502,ok,
"0,5","[0, 5]",4,16,11,8,True,True,False,False,1100,24578.2152604,1000,27956.61606872647,1100,24578.2152604,True,11,16,18,36000,14,56,84,ok,
"0,5","[0, 5]",4,16,12,8,True,True,False,False,1100,24578.2152604,1000,27956.61606872647,1100,24578.2152604,True,13,16,13,26000,14,55,90,ok,
"0,5","[0, 5]",4,16,13,8,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,0000,29590.41799437353,False,9,16,12,24000,14,49,114,ok,
